,time
0,1.2201253387343467
1,4.5407748907142125
2,0.5043175220098363
3,9.776754396512901
4,9.001248097680078
5,3.1576997006749243
6,4.524189923307702
7,0.5707004827671616
8,5.223831954248847
9,4.926661817920069
10,11.073993767499498
11,18.428581891568317
12,8.464246684187334
13,20.27621205528667
14,0.5910605355506193
15,1.1707535788415346
16,1.5589847122017644
17,3.7371925877965615
18,2.42552427793522
19,11.361999508627047
20,0.14037596797908708
21,7.6109761889868945
22,1.5309479650186186
23,0.8226033982958428
24,2.183091343514433
25,9.28322911201894
26,11.265463441682378
27,3.495003953254032
28,3.595933524768539
29,1.652836902329351
30,5.98311374349519
31,8.245368369164781
32,1.1606111372019012
33,15.68738218562008
34,6.898025849586583
35,1.504536046789113
36,3.1279232664853023
37,2.2258292434353883
38,8.3424614470798
39,2.1532502371663726
40,13.056575330756615
41,7.749317546648612
42,1.1967559740420848
43,11.476608042488278
44,1.5680932324201402
45,4.1745114647025545
46,1.7340454335085904
47,1.55472143495438
48,7.307681854650144
49,0.9281496899656803
50,6.531753635409084
51,13.675930347711752
52,-0.11933816581387494
53,2.9816877097536922
54,11.310705726929998
55,0.17636882448673802
56,10.349351592913987
57,1.5240942507745114
58,2.910734858734086
59,1.710250584908423
60,10.205196331195312
61,4.152725690934948
62,9.559573352443142
63,13.997184403956993
64,11.933996260763163
65,13.511528366034616
66,3.071287701871522
67,1.5489322603697668
68,13.27985863487569
69,5.629272895444834
70,-0.05936810630012087
71,1.2967750368642965
72,17.814207438298343
73,0.3505822948898579
74,12.737055765464707
75,7.745700551407408
76,2.6287986180448835
77,2.762923483730765
78,1.7312876130133372
79,5.907068225869609
80,14.46529600527434
81,11.17044583789082
82,11.634658073810591
83,0.7763195359087101
84,2.424772793267885
85,9.812355594573264
86,3.3371455628727085
87,1.4198273619206898
88,8.31437213805971
89,3.8074087614701235
90,2.4292391515292526
91,0.8088010283976308
92,1.6956053487672702
93,13.495528737049213
94,7.112680722019329
95,10.346126096014654
96,21.05606568128008
97,0.34386344852303596
98,2.0657130324878645
99,1.7246752932240839
