,time
0,1.6189913
1,5.0421906
2,0.26126465
3,2.3435836
4,2.078514
5,3.8103657
6,3.1346393
7,0.40291223
8,4.674947
9,1.2560486
10,2.5683036
11,9.431481
12,1.1051599
13,11.710344
14,0.86275816
15,0.71448314
16,2.4818716
17,4.3750396
18,2.998859
19,2.9095304
20,0.54236895
21,0.9046947
22,1.1527935
23,1.2292365
24,1.5883689
25,1.3030586
26,4.9364386
27,2.3411236
28,4.1204405
29,1.4117823
30,7.124756
31,3.1323962
32,1.0120757
33,7.6006875
34,5.08365
35,0.9835436
36,4.637393
37,3.5496376
38,1.0328487
39,2.7113452
40,3.018266
41,5.6432104
42,1.3822162
43,3.9007008
44,1.0405219
45,1.7321962
46,3.0314465
47,2.1944056
48,9.629348
49,0.7326058
50,0.37429538
51,10.839404
52,-0.053339683
53,3.852607
54,4.7570753
55,-0.3890593
56,1.7572027
57,1.7185024
58,1.7892689
59,2.1521733
60,1.7820171
61,4.2894216
62,0.6281079
63,4.366134
64,3.149237
65,3.760058
66,4.2670712
67,1.1553042
68,6.155566
69,2.9922352
70,0.21248308
71,1.9122145
72,5.6962886
73,0.27428424
74,3.6462994
75,12.584333
76,1.9265159
77,2.8430514
78,3.04821
79,3.082219
80,4.5583563
81,2.8516781
82,4.489333
83,1.5063246
84,2.1819694
85,2.6480436
86,3.4314857
87,0.6900393
88,6.093173
89,1.9321858
90,3.5393684
91,2.9788861
92,2.8754687
93,8.489173
94,7.5536203
95,2.1611803
96,13.605875
97,0.1351732
98,2.173449
99,1.2474678
