,time
0,3.0460255
1,5.9901905
2,0.54317164
3,2.8071961
4,3.2301311
5,2.9824681
6,3.8105874
7,0.19385505
8,6.1638618
9,0.0916215
10,6.560193
11,7.2899942
12,2.4919496
13,14.409689
14,0.09371768
15,0.98574144
16,1.3823112
17,3.7023625
18,2.8433166
19,3.2540016
20,0.22563557
21,1.9839098
22,0.6095376
23,1.144346
24,1.1772594
25,2.833265
26,3.3799908
27,2.7225785
28,4.5482607
29,1.2449694
30,8.444966
31,3.373403
32,0.858185
33,7.006034
34,4.6489477
35,1.4088433
36,4.6644235
37,2.3651595
38,2.1428752
39,3.239717
40,3.427771
41,12.327416
42,2.2725196
43,3.248857
44,1.078151
45,3.9591134
46,3.022979
47,1.948197
48,8.223051
49,0.5675604
50,2.2669833
51,5.7742887
52,0.30461702
53,5.536223
54,6.655912
55,0.18463069
56,2.5267198
57,1.0086594
58,1.568552
59,1.9448467
60,4.686598
61,2.9206753
62,2.5367057
63,3.9893107
64,2.582147
65,5.2796497
66,3.321741
67,0.59935004
68,5.8394313
69,1.1088841
70,1.1320314
71,2.1342494
72,8.553082
73,0.43046704
74,3.1873221
75,9.120072
76,1.2320087
77,2.8345323
78,3.187509
79,6.1454225
80,5.370282
81,3.386877
82,4.3073745
83,0.54778844
84,3.092872
85,3.3123736
86,3.2602563
87,0.41773567
88,6.2359996
89,4.8368564
90,3.0752153
91,1.1284552
92,2.6051316
93,6.8159447
94,7.440956
95,4.6600637
96,18.146261
97,0.07707314
98,0.9829645
99,0.74478585
