Id,time
0,3.2322679
1,5.3478518
2,0.28331095
3,1.8268349
4,2.264467
5,4.2078824
6,6.210639
7,0.8223311
8,8.024633
9,1.8728803
10,5.9957337
11,9.860972
12,2.5608122
13,12.604506
14,0.096948944
15,0.8184622
16,2.8611212
17,6.60114
18,3.522094
19,2.0583975
20,0.4825274
21,1.5157145
22,0.6214305
23,2.118212
24,1.6513882
25,1.8556703
26,2.6724994
27,3.9955528
28,4.315883
29,1.760251
30,6.7117486
31,3.7457836
32,0.91237944
33,7.467532
34,6.746272
35,1.0768993
36,4.1545115
37,1.9409332
38,2.211802
39,2.3065243
40,2.6638405
41,11.906415
42,2.214387
43,3.523397
44,1.2227871
45,2.6493583
46,3.5337594
47,2.1172187
48,4.4456825
49,0.6415784
50,1.7947233
51,12.085998
52,0.05540011
53,4.647069
54,5.5043297
55,0.44156724
56,2.2358413
57,0.8320843
58,1.1607149
59,1.875946
60,2.861734
61,3.930811
62,1.7248547
63,6.3722277
64,3.9610858
65,6.9848084
66,2.3060455
67,0.554245
68,9.267775
69,2.2087083
70,0.23044567
71,0.6695417
72,7.74454
73,0.35997528
74,5.322018
75,11.86277
76,1.6553669
77,4.1482406
78,3.5243065
79,2.4509292
80,8.354438
81,3.4742684
82,3.8766491
83,2.1470776
84,3.0133507
85,3.3210285
86,4.3055773
87,0.8643115
88,6.102005
89,0.98457444
90,2.8410358
91,2.166521
92,1.9648802
93,12.661317
94,4.6751976
95,2.6998215
96,11.513701
97,0.20976698
98,1.4168609
99,0.009565157
